Document ID,Rule 3: Credit check,Rule 3 Proof Phrase
POW.001.000001,Identified, You can opt out online or by call an origin if you'd like to know more about how origin collects and uses your personal and credit related information and what this means for your credit rating.
POW.001.000002,Identified,Available at power shop dot.com delay you powers of may conduct a credit check on you where a credit check fails to meet power shop's criteria power shop may cancel this contract and not proceed with your switch or connection you'll pay any applicable fees for your connection. 
POW.001.000003,Identified,Whether a credit check fails to meet power shop's criteria power shop may cancel this contract and not proceed with your switch or connection you'll pay any applicable fees for your connection.
POW.001.000004,Identified, its privacy policy of a little power shop not Condit you power it may conduct a credit check on you where a credit check fails to meet power shop's criteria power shop may cancel this contract and not proceed with your switch or connection you'll pay any applicable fees for your connection. 
POW.001.000005,Identified,in accordance with its privacy policy of a at power shop dot.com power shop may conduct a credit check on you where a credit check fails to meet pawnshops criteria. Power shop may cancel this contract and not proceed with your switch for connection you'll pay any applicable fees for your connection.
POW.001.000006,Identified, Available at power shop condo you powers may conduct a credit check on you where a credit check fails to meet power shop's criteria. Power shop may cancel this contract and not proceed with your switch or connection you'll pay any applicable fees for your connection
POW.001.000007,Identified,Available at power shop dot com you power it may conduct a credit check on you where a credit check fails to meet power shop's criteria. Power shop may cancel this contract and not proceed with your switch or connection you'll pay any applicable fees for your connection.
POW.001.000008,Identified,Shop may contact a credit check on your credit check first me pawnshops criteria pal shop cancel this contract and not proceed with this collection. You will pay any political fees for your collection.
POW.001.000009,Identified,You and me share it with us pal shop may conduct a credit check on you where credit check fails for me pal shop's criteria. Shop may cancel this contract and not proceed with your switchel connection. 
POW.001.000010,Identified,You and me share it with us pal shop may conduct a credit check on you where credit check fails for me pal shop's criteria. Shop may cancel this contract and not proceed with your switchel connection.
POW.001.000011,Identified,power shop dot com dot you shop may contact the credit check on you where credit check fails. Meet pal shops criteria pet shop make sense of this contract and not proceed with your switch or connection.
POW.001.000012,Identified,power shop dot com dot you shop may contact the credit check on you where credit check fails. Meet pal shops criteria pet shop make sense of this contract and not proceed with your switch or connection.
POW.001.000013,Identified,Available at a power shop you can shop make sure that the credit check on you where credit check fails to meet pal shops close area power shop may cancel this contract and not proceed with your switch connection. 
POW.001.000015,Identified, power shop that you have a shop making back the credit check on you were a credit check to make pallets of criteria power makes sense of disagreement and not say it was your suite or connection and you will pay any applicable fees for your connection.
POW.001.000019,Identified,Available our pal shoptalk commentary you penshoppe may conduct a credit check on you where credit check fails to meet Palus shop's criteria.
POW.001.000021,Identified,Perisher make an extra credit check on you where a credit check first met perishable criteria which I make into this contract and I proceed with your connection applicable.
POW.001.000022,Identified,Perisher make an extra credit check on you where a credit check first met perishable criteria which I make into this contract and I proceed with your connection applicable.
POW.001.000023,Identified, Perisher make an extra credit check on you where a credit check first met perishable criteria which I make into this contract and I proceed with your connection applicable. 
POW.001.000024,Identified,power shop comes to you how a shot my conduct a credit check on a credit check was to make sure criteria. 
