Document ID,Rule 3: Credit check,Rule 3 Proof Phrase,Rule 8: Welcome pack,Rule 8 Proof Phrase,Rule 10: Cooling off period,Rule 10 Proof Phrase,Rule 15: Call is recorded,Rule 15 Proof Phrase,Rule 18: Yes,Rule 18 Proof Phrase,Reviewer Comments
POW.001.000401,Identified,WILL POWER UP dot com that you may conduct a credit check on your credit check,Unidentified,,Identified,You have a 10 business note kind of purger in which you can see or sign up by contact in power shop for Shelly proprietarily minutes 3 5 7,Identified,What are you going to let you know of course record of victory in Trenton purposes,Not yet reviewed,You confirmed that you were over 18 years of age and you authorized them to renew your agreements. Can you understand the terms or just read which are in power. So please excuse me please respond with a yes or no. Yes,
POW.001.000402,Identified,Now how I shop may conduct a credit check on you as well.,Identified,The period starts the business day after you receive your welcome back,Identified,You'll have a 10 business days cooling off period during which you can cancel your assignment by contacting parish upstroke departure limited at 357 Collins Street Melbourne,Identified,I'll just persevere let you know once again the call is recorded for quality and compliance purposes.,Identified,Now I just made it clear you don't answer the following question so you confirm that you are over 18 authorized to enter into this agreement and understand and accept the terms you just read which are also on talor Shops website. Yes,
POW.001.000403,Unidentified,,Identified,Bit by bit it starts the business day after you receive your Welcome back,Identified,You are a dead business day cooling off period,Identified,But once again I need to let you know that this call is recorded for the purpose of quality coaching,Unidentified,,
POW.001.000404,Unidentified,,Identified,The period starts the business day after you receive your welcome back,Identified,You have a 10 day cooling off period during which you can cancel your phone up by contacting barash of Australia proprietory limited 357 Colin street Melbourne,Identified,So once again I just have to let you know that this call is recorded for the purpose of quality and coaching.,Identified,Now do you confirm that you are over 18 years of age authorized to enter into this agreement and understand and accept the terms you've just read which are also available in barber shops website. I can confirm,
POW.001.000405,Identified,power shop may conduct a credit check on you,Identified,This period starts the business day after you received your welcome back,Identified,You have a 10 business day cooling off period during which you can cancel your sign up by contacting the power shop a failure,Identified,Once again these calls me it's quarter for coast quality and compliance purposes,Identified,So do you confirm that you are over the age of 18 authorized entered into this agreement and send and accept the terms that we just read which also in shops website presents one of the clear yes or no.Yes.,
POW.001.000406,Unidentified,,Unidentified,,Identified,you have a 10 business days cooling off period during which you can cancel,Identified,Once again the calls have been recorded called in coaching is that okay,Identified,Do you agree and confirm your 18 years of age or intern in agreement and understand and accept the terms and conditions which I just read out to you. Also available on this Web site do you agree and consent for that. Yes,
POW.001.000407,Identified,Now how shop may contact a credit check on you as well,Identified,period starts the business day after you receive a welcome back,Not yet reviewed,You have a 10 business days cooling off period during which you can cancel,Identified,I'll just say you know once again the call is recorded for quality and compliance purposes.,Identified,So you confirm that you are over 18 authorized to enter into this agreement and understand and accept the terms you just read which are also on township's website. Yes,
POW.001.000408,Unidentified,,Identified,How can you be getting a welcome pack and that's got all the details ,Identified,You have a 10 day cooling off period,Identified,This call was recorded for quality and compliance purposes,Identified,Can you confirm that you confirm you are over 18 or tries to enter into this agreement. And I understand and accept the terms. We've just read which are also on our shops website. Please respond yes or no. Yes,
POW.001.000409,Unidentified,,Identified,How can you be getting your welcome pack. And that's got all the details we discuss on call,Identified,We have a 10 day cooling off period,Identified,So once again this call was recorded for quality and compliance purposes,Identified,Can you confirm that you confirm you are over 18. Or authorized to enter into this agreement and understand and accept the terms. We've just read which are also on our shops website. To respond yes or no. Yes,
POW.001.000410,Unidentified,,Unidentified,,Identified,you have a 10 business day cooling off period during which you can cancel,Identified,Once again procreating and verification purposes that call is being recorded,Identified,How do you confirm your 18 authorized to get into agreement and understanding the accepted terms which we have just read which are also part of a shop website. Please respond with a clear yes or no. Yes,
