Document ID,Rule 3: Credit check,Rule 3 Proof Phrase,Rule 8: Welcome pack,Rule 8 Proof Phrase,Rule 10: Cooling off period,Rule 10 Proof Phrase,Rule 15: Call is recorded,Rule 15 Proof Phrase,Rule 18: Yes,Rule 18 Proof Phrase,Reviewer Comments
POW.001.000001,Identified, You can opt out online or by call an origin if you'd like to know more about how origin collects and uses your personal and credit related information and what this means for your credit rating.,Identified,Today you're taking up an agreement with origin originally very the terms conditions nature amount and structure of your rate and charges. If they do change origin will let you know origin will send you an agreement pack which explains the terms and conditions your payment options the charges and fees that apply and you would then be in this day cooling off period.,Identified,If they do change origin will let you know origin will send you an agreement pack which explains the terms and conditions your payment options the charges and fees that apply and you would then be in this day cooling off period,Unidentified,,Identified,"Do you agree to these terms.
Yes.",Rule 18 was present but the age was not part of the T&C
POW.001.000002,Identified,Available at power shop dot.com delay you powers of may conduct a credit check on you where a credit check fails to meet power shop's criteria power shop may cancel this contract and not proceed with your switch or connection you'll pay any applicable fees for your connection. ,Identified,If you don't receive the pack within 24 hours contact the power shop on 1 800 462 double hate power shop will collect you and handle all your personal information in accordance with its privacy policy.,Identified,You have a business day cooling off period during which you can cancel your sign up by contacting power shop Australia proprietory Ltd 357 Colin street Melbourne it starts the business day after you receive your Welcome back. ,Not yet reviewed,,Identified,Do you understand your rights and agree to these terms and conditions. The final clear yes or no. Yes sorry yes. ,Rule 18 was mentioned but age was not part of the T&C
POW.001.000003,Identified,Whether a credit check fails to meet power shop's criteria power shop may cancel this contract and not proceed with your switch or connection you'll pay any applicable fees for your connection.,Identified,You have a 10 business day cooling off period during which you can cancel your line up by contacting power shop Australia proprietory Ltd 357 Collin Street Melbourne it starts the business day after you receive your Welcome back. If you don't receive the packet within 24 hours contact a power shop ,Identified,You have a 10 business day cooling off period during which you can cancel your line up by contacting power shop Australia proprietory,Not yet reviewed,,Identified, Do you understand your rights and agree to these terms and conditions. One yes or no. Yes.,
POW.001.000004,Identified, its privacy policy of a little power shop not Condit you power it may conduct a credit check on you where a credit check fails to meet power shop's criteria power shop may cancel this contract and not proceed with your switch or connection you'll pay any applicable fees for your connection. ,Identified,it starts the business day after you receive your Welcome back. If you don't receive the pad within 24 hours contact a power shop ,Identified,You have a 10 business day cooling off period during which you can cancel your sign up by contacting power shop ,Identified,The court record is the training compliance.,Identified,Do you understand your rights and agree to these terms and conditions. I do think you are just a clear yes or no. Yes yes thank you,
POW.001.000005,Identified,in accordance with its privacy policy of a at power shop dot.com power shop may conduct a credit check on you where a credit check fails to meet pawnshops criteria. Power shop may cancel this contract and not proceed with your switch for connection you'll pay any applicable fees for your connection.,Identified,it starts the business day after you receive your welcome back. If you don't receive the pack within 24 hours contact a power shop ,Identified,Your agreement starts at the end of the cooling off period and you may terminate the agreement at any time by contacting power shop.,Identified,Now I'll let you know that the call was recorded for quality and coaching purposes.,Unidentified,,Rule 18 was present but no YES or NO response from customer
POW.001.000006,Identified, Available at power shop condo you powers may conduct a credit check on you where a credit check fails to meet power shop's criteria. Power shop may cancel this contract and not proceed with your switch or connection you'll pay any applicable fees for your connection,Identified,it starts the business day after you receive your welcome back. If you don't receive the pack within 24 hours contact,Identified,You have a 10 business day cooling off period during which you can cancel your sign by contacting power off ,Identified,From the I work on the court record coaching training.,Identified, If you understand your rights and agree to these terms and conditions. Yes or no. Yep,
POW.001.000007,Identified,Available at power shop dot com you power it may conduct a credit check on you where a credit check fails to meet power shop's criteria. Power shop may cancel this contract and not proceed with your switch or connection you'll pay any applicable fees for your connection.,Identified,It starts the business day after you receive your welcome back. If you don't receive the pack within 24 hours contact power shop ,Identified,You have a 10 business day cooling off period during which you can cancel your sign up by contacting power in Australia proprietary,Unidentified,,Identified,Do you confirm that you are over 18 authorized to enter into this agreement and understand and accept the terms we've just read which are also on powershares website. Yes. Great.,
POW.001.000008,Identified,Shop may contact a credit check on your credit check first me pawnshops criteria pal shop cancel this contract and not proceed with this collection. You will pay any political fees for your collection.,Not yet reviewed,,Unidentified,,Not yet reviewed,,Unidentified,,
POW.001.000009,Identified,You and me share it with us pal shop may conduct a credit check on you where credit check fails for me pal shop's criteria. Shop may cancel this contract and not proceed with your switchel connection. ,Identified,it starts the business day after you receive your Welcome back. If we don't receive the package within 24 hours contact power shop on one,Identified,You have a 10 business day cooling off period during which you can cancel your sign up by contacting pal shop Australia ,Identified,So this call is being recorded for training and coaching purposes. OK. ,Unidentified,,
POW.001.000010,Identified,You and me share it with us pal shop may conduct a credit check on you where credit check fails for me pal shop's criteria. Shop may cancel this contract and not proceed with your switchel connection.,Identified,starts the business day after you receive your Welcome back. If we don't receive the package within 24 hours contact power shop,Identified,You have a 10 business day cooling off period during which you can cancel your sign up by contacting pal shop Australia ,Identified, OK. So this call is being recorded for training and coaching purposes. OK.,Unidentified,,
POW.001.000011,Identified,power shop dot com dot you shop may contact the credit check on you where credit check fails. Meet pal shops criteria pet shop make sense of this contract and not proceed with your switch or connection.,Identified,Street malbin it starts the business day after you receive your welcome back. If you don't receive the pack within 24 hours contact power shop ,Identified, They've got a 10 business day cooling off period. You're billed monthly. It's 100 percent online.,Identified,Oh before I keep going I just have to let you know this call is being recorded for sorry training and coaching purposes.,Identified,Now do you confirm you are over 18. Authorize in terms of this agreement. I understand and accept the terms I've just read which are also on pal shops website. Please respond with yes or no. Yes. Awesome. ,
POW.001.000012,Identified,power shop dot com dot you shop may contact the credit check on you where credit check fails. Meet pal shops criteria pet shop make sense of this contract and not proceed with your switch or connection.,Identified,Street malbin it starts the business day after you receive your welcome back. If you don't receive the pack within 24 hours contact power shop,Identified,They've got a 10 business day cooling off period. You're billed monthly.,Identified,Oh before I keep going I just have to let you know this call is being recorded for sorry training and coaching purposes.,Identified,ou will receive a validation e-mail from power shop confirming your concession eligibility. OK. Now do you confirm you are over 18. Authorize in terms of this agreement. I understand and accept the terms I've just read which are also on pal shops website. Please respond with yes or no. Yes. Awesome.,
POW.001.000013,Identified,Available at a power shop you can shop make sure that the credit check on you where credit check fails to meet pal shops close area power shop may cancel this contract and not proceed with your switch connection. ,Identified, It starts the business day after you receive your welcome pack. If you don't receive the pack within 24 hours contact our shop,Identified,"So there's no exit fees no sign up fees no lock on contract. There's a 10 business day cooling off period a 60 day guarantee as well.
OK.",Identified, Palace shop. OK. So before we keep going this call is being recorded for training and coaching purposes.,Identified, Now do you confirm you are over 18 authorized to enter into this agreement and understand and accept the terms we've just read which are also on pal shops website. Please respond with yes or no. Yes.,
POW.001.000014,Unidentified,,Unidentified,,Unidentified,,Not yet reviewed,,Unidentified,,
POW.001.000015,Identified, power shop that you have a shop making back the credit check on you were a credit check to make pallets of criteria power makes sense of disagreement and not say it was your suite or connection and you will pay any applicable fees for your connection.,Identified,it stops the business day after you received the welcome pack. And if you don't receive the post within 24 hours contact power shop ,Identified,The marketing represented by we paid a fee for this sale and you have a 10 business day cooling off period during which you can cancel your sign up. ,Identified,"I ask you if you get a sense radius in terms and conditions as this call is being recorded for the quality and touching purposes.
Yeah.",Identified,Do you confirm you are over 18 authorized to enter into this agreement and understand and accept the terms. Can just read We are also on tell from the site. Yes perfect.,
POW.001.000016,Unidentified,,Unidentified,,Unidentified,,Unidentified,,Unidentified,,
POW.001.000017,Unidentified,,Unidentified,,Unidentified,,Unidentified,,Unidentified,,
POW.001.000018,Unidentified,,Unidentified,,Identified, Now what I have here is a 10 business day cooling off period. Okay. So that's for every provider that you go with they should. So you have got 10 days.,Identified,"One of my colleagues just told me I'm always getting in trouble for this. Sorry. I'm so upset how you this call is being recorded for training and coaching purposes. OK. I'm sorry.
Do very well. I'm always getting into trouble. Look like you're suppose to tell customers.",Unidentified,,
POW.001.000019,Identified,Available our pal shoptalk commentary you penshoppe may conduct a credit check on you where credit check fails to meet Palus shop's criteria.,Identified, Collins Street malbon it starts the business day after you receive your back pack. If you don't receive the pack within 24 hours contact pallet shop on,Identified,You have a 10 hours a day cooling off period during which you can cancel your sign up by contacting power shop Australia propriety,Unidentified,,Unidentified,,
POW.001.000020,Unidentified,,Unidentified,,Unidentified,,Identified,"This call is being recorded for training and coaching purposes. Okay.
Okay.",Unidentified,,
POW.001.000021,Identified,Perisher make an extra credit check on you where a credit check first met perishable criteria which I make into this contract and I proceed with your connection applicable.,Identified, It starts the business say after you received your welcome back. If you don't save the pack within 24 hours contact power shop,Identified,so you have a 10 business day cooling off period during which you can cancel your son up or contacting fellowship Australia prior,Unidentified,,Identified,Can you confirm you have 18 authorized to enter into this agreement and the sentiments of the terms of the threat which it was unfair subset observe psychoanalytically is Kerry. Yes.,
POW.001.000022,Identified,Perisher make an extra credit check on you where a credit check first met perishable criteria which I make into this contract and I proceed with your connection applicable.,Identified,It starts the business say after you received your welcome back. If you don't save the pack within 24 hours contact power shop ,Identified, you have a 10 business day cooling off period during which you can cancel your son up or contacting fellowship Australia ,Identified,I'll let you know that this horse is getting recorded for quality and training purposes.,Unidentified,,
POW.001.000023,Identified, Perisher make an extra credit check on you where a credit check first met perishable criteria which I make into this contract and I proceed with your connection applicable. ,Identified, It starts the business say after you received your welcome back. If you don't save the pack within 24 hours contact power shop on ,Identified,paid a fee for this so you have a 10 business day cooling off period during which you can cancel your son up or contacting fellowship Australia,Identified, I'll let you know that this horse is getting recorded for quality and training purposes.,Unidentified,,
POW.001.000024,Identified,power shop comes to you how a shot my conduct a credit check on a credit check was to make sure criteria. ,Identified,It starts a business day after you receive your welcome pack and if you don't receive the post within 24 hours contact power shop,Identified,The marketing representative My We paid is a pity so you have a 10 business day cooling off period during which you can cancel your signing up by contacting tailor shop Australia,Identified,And again this call is being recorded for quality and coaching purposes.,Identified,How do you confirm you are over 18 authorized to enter into this agreement and understand and accept the terms you will just read which are also on pells Shop website. Yes perfect,
POW.001.000025,Identified,So how would you handle your personal information in accordance with a barbecue policy as our global power shop comes to you how a shot my conduct a credit check on a credit check was to make sure criteria,Identified,It starts a business day after you receive your welcome pack and if you don't receive the post within 24 hours contact power shop,Identified,marketing representative My We paid is a pity so you have a 10 business day cooling off period during which you can cancel your signing up by contacting tailor shop,Identified,And again this call is being recorded for quality and coaching purposes.,Identified, How do you confirm you are over 18 authorized to enter into this agreement and understand and accept the terms you will just read which are also on pells Shop website. Yes perfect.,
POW.001.000026,Unidentified,,Unidentified,,Unidentified,,Unidentified,,Unidentified,,
POW.001.000027,Unidentified,,Unidentified,,Unidentified,,Unidentified,,Unidentified,,
POW.001.000028,Identified,Available at power shop at a power shop may conduct a credit check on you. Where a credit is required to make peller shots criteria ,Identified,It starts the business day after you receive your welcome pack and if you don't receive the pack within 24 hours contact,Identified, Maybe we paid a fee for this sale and you have a 10 business day cooling off period during which you can cancel your fine up by contacting power shop ,Identified, No worries so well first and foremost his call will be recorded for quality and coaching purposes.,Identified,You may make dignam confirm you are over 18 authorized to enter into this agreement and understand the terms that you just read which are also one.tel Shops looks site. Yes.,
POW.001.000029,Identified,Available at power shop at a power shop may conduct a credit check on you. Where a credit is required to make ,Identified,It starts the business day after you receive your welcome pack and if you don't receive the pack within 24 hours contact power shop ,Identified,Maybe we paid a fee for this sale and you have a 10 business day cooling off period during which you can cancel your fine up by contacting power shop ,Identified, No worries so well first and foremost his call will be recorded for quality and coaching purposes.,Identified,You may make dignam confirm you are over 18 authorized to enter into this agreement and understand the terms that you just read which are also one.tel Shops looks site. Yes.,
POW.001.000030,Unidentified,,Unidentified,,Unidentified,,Unidentified,,Unidentified,,
POW.001.000031,Identified,You may conduct a credit check on you where a credit check fails to meet pal shop criteria a power shop cancel this agreement.,Identified,It starts the day after you receive your welcome pack and if you don't receive the package within 24 hours contact power shop ,Identified,The marketing workers may be paid a fee for the sale and you have a 10 business day cooling off period during which you can cancel your sign up for contacting power shop,Identified,So again this call is being recorded for quality and coaxing purposes. ,Identified,Then how do you confirm you are over 18 authorized to enter into this agreement and understand and accept the terms which you've just read which are also on power shop website. Yes ,
POW.001.000032,Unidentified,,Unidentified,,Unidentified,,Unidentified,,Unidentified,,
